com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_42_years,persons,286.5013937,0.012654880007396452
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_43_years,persons,289.8486102,0.012802727885618755
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_44_years,persons,291.1638228,0.01286082134695334
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_45_years,persons,260.0110464,0.011484790877614469
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_46_years,persons,287.9104853,0.012717120141334866
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_47_years,persons,287.9807574,0.01272022408781793
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_48_years,persons,306.817441,0.013552247861304
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_49_years,persons,302.959457,0.013381839180355041
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_4_years,persons,267.7505676,0.011826648593682888
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_50_years,persons,308.3577735,0.013620284957763658
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_51_years,persons,322.6053989,0.014249608213398955
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_52_years,persons,310.3381526,0.013707759086793194
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_53_years,persons,336.7473343,0.01487426309988355
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_54_years,persons,296.7563034,0.013107843429543273
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_55_years,persons,290.9397943,0.012850925919398438
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_56_years,persons,348.13383,0.015377209123731236
